origem,cod_origem
"Colorado do Oeste, RO",1100064
"Costa Marques, RO",1100080
"Guajará-Mirim, RO",1100106
"Jaru, RO",1100114
"Ji-Paraná, RO",1100122
"Ouro Preto do Oeste, RO",1100155
"Pimenta Bueno, RO",1100189
"Porto Velho, RO",1100205
"Presidente Médici, RO",1100254
"Rolim de Moura, RO",1100288
"Vilhena, RO",1100304
"São Miguel do Guaporé, RO",1100320
"Nova Mamoré, RO",1100338
"Buritis, RO",1100452
"Novo Horizonte do Oeste, RO",1100502
"Itapuã do Oeste, RO",1101104
"Mirante da Serra, RO",1101302
"Monte Negro, RO",1101401
"Theobroma, RO",1101609
"Urupá, RO",1101708
"Vale do Anari, RO",1101757
"Acrelândia, AC",1200013
"Assis Brasil, AC",1200054
"Brasiléia, AC",1200104
"Capixaba, AC",1200179
"Cruzeiro do Sul, AC",1200203
"Feijó, AC",1200302
"Plácido de Castro, AC",1200385
"Rio Branco, AC",1200401
"Rodrigues Alves, AC",1200427
"Senador Guiomard, AC",1200450
"Sena Madureira, AC",1200500
"Tarauacá, AC",1200609
"Xapuri, AC",1200708
"Apuí, AM",1300144
"Boca do Acre, AM",1300706
"Itacoatiara, AM",1301902
"Lábrea, AM",1302405
"Manacapuru, AM",1302504
"Manaus, AM",1302603
"Novo Airão, AM",1303205
"Parintins, AM",1303403
"Presidente Figueiredo, AM",1303536
"Mucajaí, RR",1400308
"Rorainópolis, RR",1400472
"Abel Figueiredo, PA",1500131
"Anapu, PA",1500859
"Baião, PA",1501204
"Bragança, PA",1501709
"Capanema, PA",1502202
"Concórdia do Pará, PA",1502756
"Curionópolis, PA",1502772
"Curuçá, PA",1502905
"Garrafão do Norte, PA",1503077
"Marabá, PA",1504208
"Nova Esperança do Piriá, PA",1504950
"Óbidos, PA",1505106
"Pacajá, PA",1505486
"Rondon do Pará, PA",1506187
"Santa Luzia do Pará, PA",1506559
"São Félix do Xingu, PA",1507300
"São Geraldo do Araguaia, PA",1507458
"Aguiarnópolis, TO",1700301
"Alvorada, TO",1700707
"Arraias, TO",1702406
"Cachoeirinha, TO",1703826
"Chapada da Natividade, TO",1705102
"Cristalândia, TO",1706100
"Darcinópolis, TO",1706506
"Miracema do Tocantins, TO",1713205
"Nova Olinda, TO",1714880
"Palmeirante, TO",1715705
"Paraíso do Tocantins, TO",1716109
"Porto Nacional, TO",1718204
"Rio Sono, TO",1718758
"Silvanópolis, TO",1720655
"Tocantinópolis, TO",1721208
